date,amount,type,category,narration,payment_mode
14/04/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/04/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/04/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/04/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/04/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/05/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/05/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/05/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/05/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/05/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/05/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/06/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/06/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
20/06/2025,85000.0,DEBIT,SHOPPING,POS CARD - APPLE STORE MUMBAI MACBOOK,POS
15/06/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/06/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/06/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/06/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/07/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/07/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/07/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/07/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/07/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/07/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/08/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/08/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/08/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/08/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/08/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/08/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/09/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/09/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/09/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/09/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/09/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/09/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/10/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/10/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
20/10/2025,85000.0,DEBIT,SHOPPING,POS CARD - APPLE STORE MUMBAI MACBOOK,POS
15/10/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/10/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/10/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/10/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/11/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/11/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/11/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/11/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/11/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/11/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/12/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/12/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/12/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/12/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/12/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/12/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
