date,amount,type,category,narration,payment_mode
20/06/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/06/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/06/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/07/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/07/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/07/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/07/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/07/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/07/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/07/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/07/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/07/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/07/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/07/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/07/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/08/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/08/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/08/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/08/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/08/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/08/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/08/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/08/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/08/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/08/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/08/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/08/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/09/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/09/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/09/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/09/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/09/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/09/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/09/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/09/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/09/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/09/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/09/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/09/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/10/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/10/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/10/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/10/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/10/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/10/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/10/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/10/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/10/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/10/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/10/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/10/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/11/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/11/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/11/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/11/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/11/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/11/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/11/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/11/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/11/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/11/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/11/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/11/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/12/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/12/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/12/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/12/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/12/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/12/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/12/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/12/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/12/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/12/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/12/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/12/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
15/07/2025,32000.0,CREDIT,GENERAL_CREDIT,NEFT CR - MERIT SCHOLARSHIP COLLEGE AWARD,NEFT
