log_annual_credit,log_annual_debit,net_savings_ratio,monthly_burn_rate,salary_inflow_ratio,monthly_credit_cv,salary_regularity_score,bonus_lump_sum_ratio,investment_ratio,fixed_obligation_ratio,discretionary_ratio,tax_shield_ratio,upi_velocity_index,micro_spend_density,log_avg_ticket_size,capital_gains_flux,user_id,true_annual_income,tax_slab_class,behavior_cluster
19.2673,19.3634,-0.1008,1.1008,0.3998,0.6084,0.25,0.0,0.0,0.0,0.0,0.0,0.1355,0.0,14.9662,0.0007,100084,233184363.81,6,1
18.8136,18.5066,0.2644,0.7356,0.4266,0.4474,0.25,0.1758,0.0,0.0087,0.0,0.0,0.0696,0.0,14.3024,0.0009,100085,148136292.5,6,1
19.9769,19.9988,-0.0222,1.0222,0.3951,0.5357,0.25,0.1689,0.0,0.0,0.0,0.0,0.1548,0.0,15.6377,0.0048,100086,474095371.32,6,1
17.2126,17.2566,-0.045,1.045,0.3872,0.2994,0.25,0.1865,0.0,0.0,0.0,0.0,0.1613,0.0,12.8845,0.0005,100087,29876433.12,6,1
18.7754,18.7369,0.0378,0.9622,0.456,0.5261,0.25,0.0,0.0,0.0198,0.0,0.0,0.1018,0.0,13.6383,0.0016,100088,142570969.48,6,1
14.5824,14.5902,-0.0078,1.0078,0.3293,0.743,0.25,0.2517,0.0,0.0304,0.0,0.0018,0.1302,0.0007,10.1496,0.0048,100089,2153140.27,5,1
19.1976,19.0903,0.1017,0.8983,0.3063,0.3222,0.25,0.0,0.0,0.0239,0.0,0.0,0.1024,0.0,14.7265,0.0012,100090,217475925.67,6,1
17.3413,17.3848,-0.0445,1.0445,0.4274,1.2753,0.75,0.0,0.0,0.0134,0.0,0.0,0.1288,0.0,12.2696,0.0013,100091,33981032.46,6,1
15.0366,15.1456,-0.1151,1.1151,0.5989,1.2128,0.9167,0.0,0.0,0.0,0.0,0.0,0.1572,0.0008,10.0237,0.0018,100092,3390944.36,6,1
17.6574,17.6208,0.0359,0.9641,0.6774,1.231,0.9167,0.0,0.0,0.0001,0.0,0.0001,0.0788,0.0,12.5333,0.0,100093,46613469.82,6,1
15.4366,15.6199,-0.2012,1.2012,0.4537,0.7502,0.8333,0.0,0.0,0.0033,0.0,0.0039,0.1257,0.0,10.4145,0.0,100094,5058501.4,6,1
17.8815,17.8925,-0.011,1.011,0.2922,1.1666,0.6667,0.0,0.0,0.0058,0.0,0.0001,0.092,0.0,12.7932,0.0012,100095,58321827.1,6,1
17.399,17.4778,-0.082,1.082,0.7455,1.4697,0.9167,0.0,0.0,0.0,0.0,0.0,0.1266,0.0,12.3766,0.0,100096,35999681.74,6,1
17.9463,17.9261,0.02,0.98,0.4988,0.2879,0.25,0.0,0.0,0.0,0.0,0.0,0.1887,0.0,13.5605,0.0,100097,62226866.74,6,1
18.0595,17.9974,0.0602,0.9398,0.3985,0.5043,0.25,0.0,0.0,0.0,0.0,0.0,0.1132,0.0,13.6532,0.0002,100098,69683616.98,6,1
15.1581,15.2044,-0.0473,1.0473,0.1931,0.6452,0.25,0.1702,0.0,0.0,0.0,0.0,0.1097,0.0,10.8313,0.001,100099,3829084.18,6,1
17.8901,17.9932,-0.1086,1.1086,0.3326,0.3974,0.25,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,13.5799,0.0025,100100,58824872.9,6,1
18.5012,18.4934,0.0078,0.9922,0.7008,0.4655,0.25,0.1771,0.0,0.0294,0.0,0.0,0.0909,0.0,14.0845,0.0009,100101,108386367.78,6,1
15.6619,15.7394,-0.0806,1.0806,0.4698,1.5859,0.75,0.0,0.0,0.0,0.0,0.0,0.1154,0.0001,10.6516,0.0,100102,6336590.28,6,1
18.3292,18.3448,-0.0157,1.0157,0.5282,0.4428,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,13.955,0.0,100103,91253724.92,6,1
16.9544,16.8211,0.1248,0.8752,0.5021,0.1599,0.25,0.0,0.0,0.0,0.0,0.0003,0.0714,0.0,12.4592,0.0049,100104,23078747.2,6,1
17.7052,17.7436,-0.0392,1.0392,0.5568,1.4192,0.75,0.0,0.0,0.0184,0.0,0.0,0.1879,0.0,12.6186,0.0,100105,48894523.68,6,1
18.7231,18.706,0.017,0.983,0.4164,0.2276,0.25,0.0,0.0,0.0095,0.0,0.0,0.0854,0.0,13.6147,0.0022,100106,135310820.88,6,1
17.591,17.6005,-0.0096,1.0096,0.6353,1.566,1.0,0.0,0.0,0.0178,0.0,0.0005,0.1176,0.0,12.46,0.002,100107,43617904.76,6,1
17.5775,17.3788,0.1802,0.8198,0.5936,1.2282,0.8333,0.0,0.0,0.0126,0.0,0.0,0.1375,0.0,12.4079,0.0,100108,43033368.0,6,1
17.035,17.0432,-0.0082,1.0082,0.3989,0.4867,0.25,0.0,0.0,0.0286,0.0,0.0001,0.1265,0.0,12.6202,0.0016,100109,25014605.87,6,1
17.7418,17.7441,-0.0023,1.0023,0.2599,0.9007,0.25,0.2399,0.0,0.0326,0.0,0.0,0.1338,0.0,13.3799,0.0011,100110,50717920.79,6,1
17.4361,17.4718,-0.0363,1.0363,0.7289,0.9166,0.8333,0.0,0.0,0.0,0.0,0.0,0.1056,0.0,12.3727,0.0031,100111,37357915.98,6,1
16.5166,16.5891,-0.0753,1.0753,0.5312,1.4665,0.8333,0.0,0.0,0.0281,0.0,0.0015,0.128,0.0,11.4536,0.0,100112,14895252.54,6,1
16.3808,16.4856,-0.1105,1.1105,0.2234,0.3617,0.25,0.0,0.0,0.0131,0.0,0.0003,0.1056,0.0,12.0463,0.0033,100113,13004543.95,6,1
15.1249,15.3347,-0.2335,1.2335,0.2588,0.5031,0.25,0.0,0.0,0.0579,0.0,0.0,0.1187,0.0,10.1602,0.0006,100114,3703895.68,6,1
17.9114,17.968,-0.0582,1.0582,0.3645,0.6113,0.25,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,13.5834,0.0029,100115,60090259.84,6,1
15.9837,16.0639,-0.0836,1.0836,0.4554,1.2167,0.9167,0.0,0.0,0.0063,0.0,0.0,0.1104,0.0,10.9309,0.0,100116,8742088.02,6,1
16.781,16.8129,-0.0325,1.0325,0.3925,1.5231,0.9167,0.0,0.0,0.0,0.0,0.0,0.1,0.0,11.7219,0.0009,100117,19403417.44,6,1
18.4527,18.4367,0.0158,0.9842,0.3873,0.2756,0.25,0.0,0.0,0.0116,0.0,0.0,0.1635,0.0,13.3758,0.0012,100118,103251911.6,6,1
17.613,17.592,0.0207,0.9793,0.741,1.1768,0.8333,0.0,0.0,0.0143,0.0,0.0004,0.1138,0.0,12.4846,0.0,100119,44587062.16,6,1
19.8188,19.7203,0.0938,0.9062,0.4973,0.3237,0.25,0.0,0.0,0.0,0.0,0.0,0.0798,0.0,14.677,0.0004,100120,404754125.66,6,1
18.1272,18.0904,0.0362,0.9638,0.5649,1.0776,0.9167,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,13.0527,0.0,100121,74565184.14,6,1
18.066,17.9982,0.0656,0.9344,0.3147,0.8608,0.25,0.0,0.0,0.0257,0.0,0.0,0.1333,0.0,13.6199,0.0024,100122,70139676.09,6,1
17.4576,17.3887,0.0666,0.9334,0.4353,0.9111,0.8333,0.0,0.0,0.0135,0.0,0.0,0.1069,0.0,12.3549,0.0,100123,38173275.16,6,1
18.729,18.5335,0.1776,0.8224,0.3467,0.2832,0.25,0.0,0.0,0.0095,0.0,0.0,0.1125,0.0,14.254,0.0018,100124,136112672.23,6,1
19.8855,19.8946,-0.0092,1.0092,0.4303,0.224,0.25,0.0,0.0,0.0066,0.0019,0.0,0.1006,0.0,14.8212,0.0008,100125,432672626.34,6,1
17.2276,17.0995,0.1203,0.8797,0.3386,0.4694,0.25,0.0,0.0,0.0671,0.0,0.0,0.1358,0.0,12.7711,0.0015,100126,30328025.32,6,1
16.6699,16.7219,-0.0534,1.0534,0.6062,1.0707,0.8333,0.0,0.0,0.0153,0.0,0.0,0.0888,0.0,11.5663,0.0,100127,17364022.52,6,1
17.0938,17.1259,-0.0326,1.0326,0.3931,1.3805,0.75,0.0,0.0,0.0003,0.0,0.0004,0.1043,0.0,12.0163,0.0,100128,26531548.68,6,1
16.7928,16.8487,-0.0575,1.0575,0.4923,1.2707,0.6667,0.0,0.0,0.0,0.0,0.0,0.141,0.0,11.7713,0.0,100129,19633939.4,6,1
19.2376,19.2022,0.0348,0.9652,0.3741,0.2747,0.25,0.0,0.0,0.0074,0.0,0.0,0.1043,0.0,14.1263,0.0,100130,226346792.7,6,1
17.2068,17.1985,0.0082,0.9918,0.4436,2.9185,0.8333,0.0,0.0,0.0029,0.0,0.0003,0.0802,0.0,12.1151,0.0008,100131,29703098.46,6,1
17.3399,17.3155,0.0242,0.9758,0.6418,1.1504,0.8333,0.0,0.0,0.0002,0.0,0.0002,0.1152,0.0,12.2219,0.0,100132,33934650.34,6,1
17.829,17.8713,-0.0431,1.0431,0.4366,0.8637,0.25,0.0,0.0,0.0167,0.0,0.0,0.1429,0.0,12.769,0.0001,100133,55340868.42,6,1
16.4926,16.5679,-0.0782,1.0782,0.2111,0.5195,0.25,0.0,0.0,0.0313,0.0,0.0002,0.1341,0.0,12.1243,0.0031,100134,14542998.22,6,1
16.0829,16.0538,0.0286,0.9714,0.3667,1.5001,0.8333,0.0,0.0,0.0165,0.0,0.0,0.1069,0.0,10.9996,0.0019,100135,9653853.54,6,1
17.4529,17.4142,0.038,0.962,0.5477,0.8838,0.25,0.3533,0.0,0.0226,0.0,0.0,0.1358,0.0,13.0393,0.004,100136,37991751.42,6,1
17.2101,17.0645,0.1354,0.8646,0.4964,1.0506,0.9167,0.0,0.0,0.0003,0.0,0.0003,0.118,0.0,12.0585,0.0,100137,29801103.12,6,1
17.6382,17.7084,-0.0726,1.0726,0.607,1.2825,1.0,0.0,0.0,0.0,0.0,0.0,0.1226,0.0,12.6305,0.0013,100138,45729287.32,6,1
14.0108,14.113,-0.1077,1.1077,0.4171,1.8841,0.75,0.0,0.0,0.0,0.0,0.0,0.1111,0.0017,8.9757,0.0022,100139,1215603.76,2,1
17.9983,18.043,-0.0457,1.0457,0.2919,0.5719,0.25,0.1758,0.0,0.0396,0.0,0.0,0.1218,0.0,13.6642,0.0015,100140,65547677.02,6,1
17.6708,17.696,-0.0255,1.0255,0.6483,1.1545,0.9167,0.0,0.0,0.0,0.0067,0.0,0.1019,0.0,12.6272,0.0,100141,47242155.42,6,1
17.0891,16.9072,0.1663,0.8337,0.382,1.0332,0.75,0.0,0.0,0.0118,0.0,0.001,0.1118,0.0,11.8665,0.0,100142,26405635.16,6,1
16.5068,16.4482,0.0569,0.9431,0.4591,0.5401,0.25,0.0,0.0,0.0,0.0,0.0,0.1104,0.0,12.1341,0.0012,100143,14750397.66,6,1
16.9316,16.7171,0.193,0.807,0.4875,1.2875,0.8333,0.0,0.0,0.0,0.0,0.0,0.1728,0.0,11.7425,0.0,100144,22557484.4,6,1
18.1265,18.1617,-0.0359,1.0359,0.2943,0.321,0.25,0.0,0.0,0.0,0.0,0.0,0.1582,0.0,13.7748,0.0015,100145,74513261.2,6,1
18.2504,18.154,0.0919,0.9081,0.3138,0.0916,0.25,0.0,0.0,0.0187,0.0,0.0,0.1212,0.0,13.7906,0.0034,100146,84342359.2,6,1
16.3484,16.2954,0.0516,0.9484,0.4248,1.2985,0.6667,0.0,0.0,0.008,0.0,0.0,0.1534,0.0001,11.2285,0.0012,100147,12589590.96,6,1
16.6643,16.7003,-0.0366,1.0366,0.3558,0.8246,1.0,0.0,0.0,0.0002,0.0,0.0002,0.1098,0.0,11.5826,0.0012,100148,17266945.48,6,1
17.0024,17.0403,-0.0386,1.0386,0.4934,0.0856,0.25,0.0,0.0,0.0119,0.0,0.0,0.1111,0.0,12.6271,0.0002,100149,24213619.67,6,1
19.5163,19.5169,-0.0006,1.0006,0.518,0.2925,0.25,0.0,0.0,0.0117,0.0,0.0,0.1228,0.0,15.0681,0.003,100150,299095312.46,6,1
17.2185,17.0799,0.1295,0.8705,0.5443,1.3725,0.75,0.0,0.0,0.0227,0.0,0.0,0.1411,0.0,12.0579,0.0,100151,30054607.22,6,1
19.4242,19.4487,-0.0248,1.0248,0.3257,0.057,0.25,0.0,0.0,0.0,0.0,0.0,0.1139,0.0,14.374,0.0002,100152,272788143.1,6,1
16.7324,16.7743,-0.0428,1.0428,0.4703,1.1515,0.6667,0.0,0.0,0.0,0.0229,0.0,0.1447,0.0,11.6846,0.0013,100153,18482780.5,6,1
16.6894,16.7684,-0.0823,1.0823,0.4367,1.686,0.75,0.0,0.0,0.0352,0.0,0.001,0.1138,0.0,11.6117,0.0,100154,17705691.7,6,1
17.0929,17.0418,0.0498,0.9502,0.6356,1.783,0.8333,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,12.0114,0.0,100155,26506640.78,6,1
19.0524,19.0752,-0.023,1.023,0.4648,0.2204,0.25,0.0,0.0,0.025,0.0,0.0,0.1139,0.0,14.6944,0.0012,100156,188093415.68,6,1
